,Unnamed: 0,timestamp,humidity,pm_2_5,temperature,month,dayofweek,weekofyear,day,hour,pm_2_5_lag_12day,PM2.5_MA3_prev_12day,PM2.5_MAX24_prev_12day,PM2.5_MIN24_prev_12day
19688,20557.0,2024-10-31 21:00:00.000,45.60672033898303,12.03389830508475,35.71440677966102,10,3,305,31,21,4.661290322580645,8.230026011517348,41.47457627118644,1.163934426229508
19689,20558.0,2024-10-31 22:00:00.000,47.07107,8.083333333333334,34.99000000000002,10,3,305,31,22,6.283333333333333,8.244136012862517,41.47457627118644,1.163934426229508
19690,20559.0,2024-10-31 23:00:00.000,49.24311333333333,8.033333333333333,34.28116666666666,10,3,305,31,23,11.15254237288136,8.272449102477358,41.47457627118644,1.163934426229508
19691,20560.0,2024-11-01 00:00:00.000,44.75187833333333,7.85,36.20016666666667,11,4,306,1,0,6.0,8.281873705651961,41.47457627118644,1.163934426229508
19692,20561.0,2024-11-01 01:00:00.000,45.50930666666667,6.983333333333333,35.77333333333333,11,4,306,1,1,6.966666666666667,8.293981924645774,41.47457627118644,1.163934426229508
19693,20562.0,2024-11-01 02:00:00.000,46.73894833333334,12.21666666666667,35.3375,11,4,306,1,2,3.258064516129032,8.290732116658061,41.47457627118644,1.163934426229508
19694,20563.0,2024-11-01 03:00:00.000,47.88076249999999,8.09375,34.905,11,4,306,1,3,3.745762711864407,8.292951648538612,41.47457627118644,1.163934426229508
19695,20564.0,2024-11-01 04:00:00.000,49.19692258064516,5.838709677419355,34.33612903225806,11,4,306,1,4,2.306451612903226,8.29240083362544,41.47457627118644,1.163934426229508
19696,20565.0,2024-11-01 05:00:00.000,50.81308666666666,6.3,33.67166666666666,11,4,306,1,5,3.616666666666667,8.29189423071105,41.47457627118644,1.163934426229508
19697,20566.0,2024-11-01 06:00:00.000,53.70207931034481,8.568965517241379,32.55120689655173,11,4,306,1,6,4.254237288135593,8.29255000149394,41.47457627118644,1.163934426229508
19698,20567.0,2024-11-01 07:00:00.000,52.85008166666667,8.666666666666666,32.85400000000001,11,4,306,1,7,4.068965517241379,8.276899344679489,41.47457627118644,1.163934426229508
19699,20568.0,2024-11-01 08:00:00.000,49.75901833333332,10.33333333333333,34.22316666666667,11,4,306,1,8,3.830508474576271,8.255369559993609,41.47457627118644,1.163934426229508
19700,20569.0,2024-11-01 09:00:00.000,38.80596166666668,10.43333333333333,38.88866666666667,11,4,306,1,9,6.333333333333333,8.235953460220365,41.47457627118644,1.163934426229508
19701,20570.0,2024-11-01 10:00:00.000,34.02412166666667,6.716666666666667,40.2305,11,4,306,1,10,10.66666666666667,8.241545090811996,41.47457627118644,1.163934426229508
19702,20571.0,2024-11-01 11:00:00.000,30.56162333333332,5.8,41.58466666666667,11,4,306,1,11,8.741935483870968,8.22951712102193,41.47457627118644,1.163934426229508
19703,20572.0,2024-11-01 12:00:00.000,29.52505000000001,3.433333333333333,41.86400000000002,11,4,306,1,12,3.137931034482758,8.199913505759342,41.47457627118644,1.163934426229508
19704,20573.0,2024-11-01 13:00:00.000,33.01504166666668,2.316666666666667,40.41450000000001,11,4,306,1,13,1.354838709677419,8.180428980061173,41.47457627118644,1.163934426229508
19705,20574.0,2024-11-01 14:00:00.000,34.87434237288135,2.389830508474576,40.43610169491524,11,4,306,1,14,1.283333333333333,8.125865487997682,41.47457627118644,1.163934426229508
19706,20575.0,2024-11-01 15:00:00.000,29.55078166666667,1.683333333333333,42.32016666666667,11,4,306,1,15,7.4,8.08052818641038,41.47457627118644,1.163934426229508
19707,20576.0,2024-11-01 16:00:00.000,30.02654166666667,2.0,41.72633333333334,11,4,306,1,16,1.833333333333333,8.04456588482308,41.47457627118644,1.163934426229508
19708,20577.0,2024-11-01 17:00:00.000,31.1506,2.366666666666667,41.07716666666667,11,4,306,1,17,2.116666666666667,8.0244328810566,41.47457627118644,1.163934426229508
19709,20578.0,2024-11-01 18:00:00.000,33.54377,4.283333333333333,39.86983333333333,11,4,306,1,18,2.15,8.009900777231463,41.47457627118644,1.163934426229508
19710,20579.0,2024-11-01 19:00:00.000,34.75566500000001,4.016666666666667,39.19916666666665,11,4,306,1,19,1.266666666666667,7.9930853010409875,41.47457627118644,1.163934426229508
19711,20580.0,2024-11-01 20:00:00.000,37.18249833333333,4.716666666666667,38.02650000000001,11,4,306,1,20,3.333333333333333,7.9911507772314625,41.47457627118644,1.163934426229508
19712,20581.0,2024-11-01 21:00:00.000,40.58491355932204,7.779661016949152,36.87508474576271,11,4,306,1,21,11.5593220338983,8.015732092808541,41.47457627118644,1.163934426229508
19713,20582.0,2024-11-01 22:00:00.000,41.96819180327869,3.59016393442623,36.55442622950821,11,4,306,1,22,17.14754098360656,8.054508571724643,41.47457627118644,1.163934426229508
19714,20583.0,2024-11-01 23:00:00.000,41.98025499999999,3.233333333333333,36.90416666666667,11,4,306,1,23,6.3,8.064281210288264,41.47457627118644,1.163934426229508
19715,20584.0,2024-11-02 00:00:00.000,44.39138,4.916666666666667,36.02516666666667,11,5,307,2,0,4.366666666666666,8.064666265440268,41.47457627118644,1.163934426229508
19716,20585.0,2024-11-02 01:00:00.000,47.12021166666664,5.216666666666667,34.99983333333333,11,5,307,2,1,5.066666666666666,8.064814234232307,41.47457627118644,1.163934426229508
19717,20586.0,2024-11-02 02:00:00.000,49.21388666666667,4.25,34.11333333333332,11,5,307,2,2,8.152542372881356,8.067268619709754,41.47457627118644,1.163934426229508
19718,20587.0,2024-11-02 03:00:00.000,51.80244333333334,3.966666666666667,33.18,11,5,307,2,3,11.09836065573771,8.061360962931195,41.47457627118644,1.163934426229508
19719,20588.0,2024-11-02 04:00:00.000,49.47267333333333,3.766666666666667,34.15566666666667,11,5,307,2,4,15.15,8.057318710784434,41.47457627118644,1.163934426229508
19720,20589.0,2024-11-02 05:00:00.000,49.38699166666666,3.666666666666667,34.179,11,5,307,2,5,21.53333333333333,8.068641686302325,41.47457627118644,1.163934426229508
19721,20590.0,2024-11-02 06:00:00.000,49.54811833333334,4.166666666666667,34.09266666666666,11,5,307,2,6,18.63333333333333,8.116955178365819,41.47457627118644,1.163934426229508
19722,20591.0,2024-11-02 07:00:00.000,50.67697,4.833333333333333,33.75866666666666,11,5,307,2,7,16.01694915254237,8.158477128907634,41.47457627118644,1.163934426229508
19723,20592.0,2024-11-02 08:00:00.000,50.00403000000001,6.233333333333333,34.22183333333335,11,5,307,2,8,17.20338983050847,8.19419141462192,41.47457627118644,1.163934426229508
19724,20593.0,2024-11-02 09:00:00.000,44.90093166666665,6.366666666666666,36.12483333333333,11,5,307,2,9,13.36065573770492,8.191995864270632,41.47457627118644,1.163934426229508
19725,20594.0,2024-11-02 10:00:00.000,37.47692333333335,5.383333333333334,38.63933333333334,11,5,307,2,10,15.12903225806452,8.207916612012047,41.47457627118644,1.163934426229508
19726,20595.0,2024-11-02 11:00:00.000,36.97532372881356,4.983050847457627,39.21440677966101,11,5,307,2,11,28.55172413793104,8.258566584644777,41.47457627118644,1.163934426229508
19727,20596.0,2024-11-02 12:00:00.000,33.86931475409836,4.278688524590164,39.84704918032787,11,5,307,2,12,22.96666666666667,8.306232795938039,41.47457627118644,1.163934426229508
19728,20597.0,2024-11-02 13:00:00.000,31.79409999999999,3.526315789473684,40.84052631578947,11,5,307,2,13,1.387096774193548,8.28377712148674,41.47457627118644,1.163934426229508
19729,20598.0,2024-11-02 14:00:00.000,32.62449180327869,4.032786885245901,40.51672131147541,11,5,307,2,14,1.172413793103448,8.25443077299822,41.47457627118644,1.163934426229508
19730,20599.0,2024-11-02 15:00:00.000,48.74796333333335,1.9,33.28833333333333,11,5,307,2,15,1.419354838709677,8.234588951397498,41.47457627118644,1.163934426229508
19731,20600.0,2024-11-02 16:00:00.000,51.02474848484848,3.636363636363636,33.42303030303031,11,5,307,2,16,2.288135593220339,8.209752053361447,41.47457627118644,1.163934426229508
19732,20601.0,2024-11-02 17:00:00.000,48.01983448275862,4.379310344827586,35.47482758620691,11,5,307,2,17,1.081967213114754,8.19203965419413,41.47457627118644,1.081967213114754
19733,20602.0,2024-11-02 18:00:00.000,46.25711935483871,7.483870967741935,36.48322580645161,11,5,307,2,18,1.183333333333333,8.169136515665992,41.47457627118644,1.081967213114754
19734,20603.0,2024-11-02 19:00:00.000,44.90861034482758,9.155172413793103,37.00275862068966,11,5,307,2,19,2.133333333333333,8.157779910877183,41.47457627118644,1.081967213114754
19735,20604.0,2024-11-02 20:00:00.000,48.89907166666665,15.73333333333333,35.70166666666667,11,5,307,2,20,3.6,8.151083482305756,41.47457627118644,1.081967213114754
19736,20605.0,2024-11-02 21:00:00.000,48.19816500000001,10.4,35.88866666666667,11,5,307,2,21,4.864406779661017,8.15307064143726,41.47457627118644,1.081967213114754
19737,20606.0,2024-11-02 22:00:00.000,53.51782833333333,9.766666666666667,33.73750000000001,11,5,307,2,22,13.24590163934426,8.18084042537195,41.47457627118644,1.081967213114754
19738,20607.0,2024-11-02 23:00:00.000,54.92004067796611,8.338983050847459,33.23999999999999,11,5,307,2,23,8.516666666666667,8.198368842105875,41.47457627118644,1.081967213114754
19739,20608.0,2024-11-03 00:00:00.000,53.11488196721312,10.62295081967213,33.82409836065574,11,6,308,3,0,11.65,8.224768660507815,41.47457627118644,1.081967213114754
19740,20609.0,2024-11-03 01:00:00.000,52.59801166666664,14.21666666666667,33.93266666666667,11,6,308,3,1,5.666666666666667,8.236559579061028,41.47457627118644,1.081967213114754
19741,20610.0,2024-11-03 02:00:00.000,49.57056000000001,17.23333333333333,35.02283333333333,11,6,308,3,2,3.525423728813559,8.242158852668776,41.47457627118644,1.081967213114754
19742,20611.0,2024-11-03 03:00:00.000,53.00657666666667,16.93333333333333,33.71300000000001,11,6,308,3,3,6.032786885245901,8.25133381363677,41.47457627118644,1.081967213114754
19743,20612.0,2024-11-03 04:00:00.000,54.90663728813559,12.28813559322034,32.98474576271186,11,6,308,3,4,8.423728813559322,8.263259593835855,41.47457627118644,1.081967213114754
19744,20613.0,2024-11-03 05:00:00.000,52.08959016393442,10.27868852459016,33.65081967213114,11,6,308,3,5,8.483333333333333,8.279033403359664,41.47457627118644,1.081967213114754
19745,20614.0,2024-11-03 06:00:00.000,52.41360333333332,7.533333333333333,33.27316666666666,11,6,308,3,6,5.810344827586207,8.257684410116239,41.47457627118644,1.081967213114754
19746,20615.0,2024-11-03 07:00:00.000,53.03077878787879,12.66666666666667,33.07454545454546,11,6,308,3,7,7.271186440677966,8.264343005757885,41.47457627118644,1.081967213114754
19747,20616.0,2024-11-03 08:00:00.000,49.41446206896551,9.724137931034482,34.32482758620689,11,6,308,3,8,9.78688524590164,8.265660335968658,41.47457627118644,1.081967213114754
19748,20617.0,2024-11-03 09:00:00.000,42.15052333333333,9.133333333333333,37.48033333333333,11,6,308,3,9,8.203389830508474,8.262583257679715,41.47457627118644,1.081967213114754
19749,20618.0,2024-11-03 10:00:00.000,36.39325932203389,7.0,40.02423728813559,11,6,308,3,10,14.13333333333333,8.287533654505111,41.47457627118644,1.081967213114754
19750,20619.0,2024-11-03 11:00:00.000,33.97877457627119,6.932203389830509,40.3793220338983,11,6,308,3,11,10.29508196721311,8.297877136160068,41.47457627118644,1.081967213114754
19751,20620.0,2024-11-03 12:00:00.000,32.93337796610169,9.47457627118644,41.07677966101694,11,6,308,3,12,5.254237288135593,8.254495376676616,41.47457627118644,1.081967213114754
19752,20621.0,2024-11-03 13:00:00.000,33.79004262295081,9.229508196721312,40.46016393442623,11,6,308,3,13,7.557377049180328,8.231076172929543,41.47457627118644,1.081967213114754
19753,20622.0,2024-11-03 14:00:00.000,33.39142166666666,7.816666666666666,40.485,11,6,308,3,14,4.694915254237288,8.208938023884613,41.47457627118644,1.081967213114754
19754,20623.0,2024-11-03 15:00:00.000,36.61147575757576,6.727272727272728,39.3830303030303,11,6,308,3,15,4.483333333333333,8.186566992138582,41.47457627118644,1.081967213114754
19755,20624.0,2024-11-03 16:00:00.000,48.37564137931034,4.172413793103448,35.0655172413793,11,6,308,3,16,2.934426229508197,8.183586117821642,41.47457627118644,1.081967213114754
19756,20625.0,2024-11-03 17:00:00.000,49.37362666666669,5.5,35.17833333333333,11,6,308,3,17,1.576271186440678,8.177364702701922,41.47457627118644,1.081967213114754
19757,20626.0,2024-11-03 18:00:00.000,53.56023559322033,1.203389830508474,32.78983050847458,11,6,308,3,18,1.533333333333333,8.176732472408675,41.47457627118644,1.081967213114754
19758,20627.0,2024-11-03 19:00:00.000,52.17142372881356,3.949152542372881,34.02372881355932,11,6,308,3,19,2.39344262295082,8.17701057545317,41.47457627118644,1.081967213114754
19759,20628.0,2024-11-03 20:00:00.000,50.32063278688523,5.754098360655738,35.1332786885246,11,6,308,3,20,4.152542372881356,8.183870946720322,41.47457627118644,1.081967213114754
19760,20629.0,2024-11-03 21:00:00.000,54.1179474576271,7.966101694915254,34.11508474576272,11,6,308,3,21,6.295081967213115,8.194272976384648,41.47457627118644,1.081967213114754
19761,20630.0,2024-11-03 22:00:00.000,51.91758524590163,5.180327868852459,34.18393442622951,11,6,308,3,22,11.3,8.20573644108087,41.47457627118644,1.081967213114754
19762,20631.0,2024-11-03 23:00:00.000,49.67330999999999,4.166666666666667,34.41083333333333,11,6,308,3,23,9.576271186440678,8.222828518024642,41.47457627118644,1.081967213114754
19763,20632.0,2024-11-04 00:00:00.000,49.30003636363637,4.696969696969697,34.49484848484849,11,0,309,4,0,12.1,8.251201533897657,41.47457627118644,1.081967213114754
19764,20633.0,2024-11-04 01:00:00.000,51.1245275862069,5.206896551724138,34.26,11,0,309,4,1,6.754098360655738,8.264234564732943,41.47457627118644,1.081967213114754
19765,20634.0,2024-11-04 02:00:00.000,53.77744666666668,5.466666666666667,33.18366666666666,11,0,309,4,2,8.898305084745763,8.284666028278812,41.47457627118644,1.081967213114754
19766,20635.0,2024-11-04 03:00:00.000,60.0075779661017,5.389830508474576,31.14898305084745,11,0,309,4,3,9.19672131147541,8.304150317896298,41.47457627118644,1.081967213114754
19767,20636.0,2024-11-04 04:00:00.000,55.96441525423728,9.101694915254235,32.53186440677968,11,0,309,4,4,14.93220338983051,8.336041796239048,41.47457627118644,1.081967213114754
19768,20637.0,2024-11-04 05:00:00.000,54.55708852459017,9.754098360655735,33.01901639344261,11,0,309,4,5,13.39655172413793,8.36524780335454,41.47457627118644,1.081967213114754
19769,20638.0,2024-11-04 06:00:00.000,59.97005593220337,10.71186440677966,31.03,11,0,309,4,6,15.9,8.401706136687872,41.47457627118644,1.081967213114754
19770,20639.0,2024-11-04 07:00:00.000,57.33901639344262,8.59016393442623,31.79114754098361,11,0,309,4,7,9.491803278688524,8.411561718264764,41.47457627118644,1.081967213114754
19771,20640.0,2024-11-04 08:00:00.000,54.06287166666667,9.516666666666667,32.93966666666667,11,0,309,4,8,6.6,8.417635164592449,41.47457627118644,1.081967213114754
19772,20641.0,2024-11-04 09:00:00.000,43.2202303030303,12.66666666666667,37.06757575757576,11,0,309,4,9,9.95,8.427456593163877,41.47457627118644,1.081967213114754
19773,20642.0,2024-11-04 10:00:00.000,41.62796896551723,12.44827586206897,37.77137931034483,11,0,309,4,10,13.38333333333333,8.437980032765706,41.47457627118644,1.081967213114754
